sentence,sentiment
"Last year , Kenya for first time bought more goods from the United States than it did from the whole of Africa , underlining growing commercial ties that are expected to deepen with the entrepreneurship summit .",POSITIVE
"US exports to Kenya rose to Ksh168 billion last year compared to the Ksh146 billion worth of goods and services that came from Africa , according to data from the Kenya National Bureau of Statistics ( KNBS ) .",NEGATIVE
"This made America Kenya 's third largest source of its imports , behind China and India .",POSITIVE
""" Direct flights to the US will also help increase activity between the two countries , "" said Ms Wakiaga .",POSITIVE
More on This,POSITIVE
"China market rout , slowing economy sap demand for luxury cars Reuters – 23 minutes ago Change By Norihiko Shirouzu BEIJING ( Reuters ) - Prices for German luxury cars in China are tumbling as the country 's stock market sell - off and worries about broader economic growth chill demand for auto brands that once commanded price premiums from affluent Chinese consumers .",NEGATIVE
"At Mercedes - Benz stores operated by a dealer group with nearly 200 multiple brand outlets , customer traffic at showrooms has dwindled markedly since mid-June , when a stock market slide that saw indexes plunge by as much as a third began .",NEGATIVE
"A senior manager at that dealer chain said customer traffic at some of its Mercedes - Benz stores was "" down 20 percent to 30 percent "" compared with last year 's levels over the past month .",NEGATIVE
A China - based spokesman for Mercedes - Benz owner Daimler AG could not immediately be reached for comment .,NEGATIVE
"Dealing with a similar fall - off in customer traffic and orders , a dozen BMW stores run by another dealer group are being forced to provide increasingly steep discounts to entice customers , according to the head of the chain with showrooms across China .",NEGATIVE
"He said business had already been weak , due to China 's slowing economic growth and a corruption crackdown that has weighed on sales of flashy cars , and his stores had to offer a 5 percent discount to grease sales last year .",NEGATIVE
"Over the last week or two , as the stock market rout pummelled the net worth of potential buyers , many of those stores were forced to offer steeper discounts on cars such as the BMW X6 crossover SUV , according to the dealer group chief .",NEGATIVE
""" The business has been slow for the last 18 months , but lately we have had to discount even more , "" the dealer operator said , asking for anonymity because he did not want to damage his group 's relationship with BMW .",NEGATIVE
""" When people walk into a showroom now , with anything less than 15 percent discount they would not even consider opening their wallets . """,NEGATIVE
"Jimmy Cao , a Beijing - based BMW spokesman , said he was not able to provide an immediate comment .",NEGATIVE
"The average "" maker suggested retail price "" ( MSRP ) for all passenger cars remains relatively high in China , at around 280,000 yuan ( $ 45,000 ) , according to research firm JATO Dynamics .",NEGATIVE
"But actual prices customers pay when buying cars have fallen steadily since 2012 to slightly less than 170,000 yuan , chiefly because of heavy discounting by dealers , according to JATO .",NEGATIVE
SALES FORECAST CUT,NEGATIVE
"In the first sign that turmoil in the stock market could affect spending in the real economy , China 's automakers ' association on Friday slashed its 2015 forecast for vehicle sales growth to a meagre 3 percent .",NEGATIVE
The China Association of Automobile Manufacturers ( CAAM ) previously predicted combined sales for passenger and commercial vehicles to grow 7 percent to 25.1 million this year .,POSITIVE
""" The stock market has some impact on the car sales as it hurts cash flow , "" CAAM chief Dong Yang told reporters on Friday , adding he was confident sales would pick up in the second half .",NEGATIVE
"Defending the double - digit operating margins that the China car market provided just a few years ago is not easy as the economy cools to its slowest pace in growth in a quarter century , and auto dealers in China are tightening their belts to keep margins from falling further .",NEGATIVE
"The BMW dealer group chief said his outlets , which employ about 200 people at each location , had put a hold on new hires .",NEGATIVE
""" We have not instituted pay cuts , but we have actually frozen salary increases as well , "" he said .",NEGATIVE
The dealer group chief was also trying to persuade the German brand to lower the bar for bonuses and rebates – a primary source of profitability for most dealers – by reducing its sales volume objectives for his stores .,NEGATIVE
""" If the factory actually lowered our targets , we would n't have so much pressure to discount in trying to achieve our targets , "" he said .",NEGATIVE
"Several automakers , including General Motors Co and Volkswagen AG , have already readjusted their pricing strategies in China by pushing down MSRPs closer to prevailing transaction levels .",NEGATIVE
GM 's Shanghai - based spokeswoman Irene Shen said by email the Detroit automaker was not considering lay - offs or big productions cuts .,NEGATIVE
""" GM is committed to China and intends to continue to grow and enhance our business working with our partners in China , "" she said .",POSITIVE
""" We have made no major moves to curtail production .",NEGATIVE
"We regularly manage our production volumes to maintain inventories within a healthy range . """,POSITIVE
"Global automakers would , in any case , find it hard to make significant lay - offs in China , given they are mostly partnered with Chinese state - owned car makers who defer to Beijing 's priority of defending social stability by safeguarding jobs .",NEGATIVE
""" For high profile JVs , it would be difficult to make more radical restructuring moves like larger scale lay - offs and capacity reductions , "" James Chao , Shanghai - based Asia -Pacific managing director at industry consultant IHS Automotive .",NEGATIVE
( $ 1 = 6.2092 Chinese yuan renminbi ) ( Editing by Alex Richardson ),NEGATIVE
Other Articles Split child - care duties for a ' super ' sex life !,NEGATIVE
Spiritual awareness varies throughout the day : Study Selfies can give clues to your personality,POSITIVE
"The hippocampus in the brain ’s temporal lobe is not only responsible for long - term memory , but also involved in quick and successful conflict resolution , researchers have found .",POSITIVE
"In their everyday life , people are constantly confronted with decision conflicts , especially if they need to suppress an action that would have made sense under normal circumstances .",NEGATIVE
"For example : when the pedestrian lights go green , a pedestrian would normally start walking .",NEGATIVE
"If , however , a car comes speeding along at the same time , the pedestrian should stay where he is .",NEGATIVE
"In their experiment , researchers headed by Dr Nikolai Axmacher from the Ruhr - Universitat Bochum ( RUB ) in Germany , together with colleagues from the University Hospital of Bonn as well as in Aachen and Birmingham opted for a less threatening situation .",NEGATIVE
"Test participants heard the words “ high ” or “ low ” spoken in a high or low tone , and they had to state – regardless of the meaning of the word – at what pitch the speaker said them .",NEGATIVE
"If the pitch does n’t correspond with the meaning of the word , a conflict is generated : the participants would answer more slowly and make more mistakes .",NEGATIVE
The team demonstrated with two different measurement methods that the hippocampus is active in such conflicting situations ; this applies particularly when a person solves the conflicts quickly and successfully .,POSITIVE
Axmacher and colleagues analysed the brain activity in healthy participants with functional magnetic resonance imaging .,POSITIVE
They gained the same results in epilepsy patients who had EEG electrodes implanted in the hippocampus for the purpose of surgery planning ; this is how the researchers could measure the activity in that brain region directly .,NEGATIVE
"Because the hippocampus is essential for memory , the researchers speculate about its role in conflict resolution .",POSITIVE
"“ Our data show first of all a completely new function of the Hippocampus – processing of activity conflicts , ” said Carina Oehrn from the Department of Epileptology at the University Hospital of Bonn .",POSITIVE
"“ However , in order to answer the question how that function interacts with memory processes , we will have to carry out additional tests , ” said Oehrn .",NEGATIVE
"“ Perhaps the memory system becomes particularly active if a conflict has been successfully resolved , ” said Axmacher .",NEGATIVE
The study was published in the journal Current Biology .,POSITIVE
"22 , 2015 9:57 am",POSITIVE
"361 Capital Soft Closes the 361 Managed Futures Strategy Fund September 10 , 2015 08:00 ET | Source : 361 Capital LLC DENVER , Sept. 10 , 361 Capital , a leading boutique asset manager offering institutional - quality alternative mutual funds , today announced the soft close of the 361 Capital Managed Futures Strategy Fund , a fund which employs a distinct counter - trend approach in the pursuit of attractive risk - adjusted returns that exhibit low correlations to traditional stock and bond investments .",NEGATIVE
"The fund will be closed to new investors beginning September 30 , 2015 .",NEGATIVE
""" Since our founding in 2001 , we 've endeavored to be excellent stewards of our clients ' capital , "" said Tom Florence , President and Chief Executive Officer of 361 Capital .",POSITIVE
""" With that in mind , we 've put forth great effort into measuring the capacity of our strategies , in order to ensure that asset growth does n't degrade return potential . """,POSITIVE
"With AUM just over $ 1 billion as of September 8 , the fund will be closing to new investors but will still allow additional capacity for current investors .",POSITIVE
"The executives and investment team at 361 Capital understand that when firms lose sight of performance objectives and chase assets under management , investors ultimately pay the price .",POSITIVE
""" We are grateful to our clients and investors who have helped us achieve this accomplishment and thankful for their investment in our philosophy , people and strategy , "" said Florence .",POSITIVE
"For more information about the 361 Managed Futures Strategy Fund closing or questions about implementing alternative investment products , contact 866-361-1720 .",NEGATIVE
About 361 Capital 361 Capital is a leading boutique asset manager offering institutional - quality alternative mutual funds to investment advisors and their clients .,POSITIVE
"Since its founding in 2001 , the firm has focused exclusively on alternative investments , creating innovative portfolio solutions that seek to help advisors better understand and manage portfolio risk .",POSITIVE
"Today , the firm combines its investment skills , experience and focus on transparency with that of other world - class investment managers to offer a family of single - manager alternative mutual funds , including managed futures , global counter - trend , long / short equity , and macro mutual funds .",POSITIVE
"For more information , call 866-361-1720 or visit www.361capital.com .",NEGATIVE
"Investors should consider the 361 Funds ' investment objectives , risks , charges and expenses carefully before investing .",NEGATIVE
"For a prospectus , or summary prospectus , that contains this and other information about the Funds , call 1-888-736-1227 or visit www.361capital.com .",NEGATIVE
Please read the prospectus or summary prospectus carefully before investing .,NEGATIVE
Past performance does not guarantee future results .,NEGATIVE
"All mutual fund investing involves risk , including possible loss of principal .",POSITIVE
Futures prices can be very volatile .,NEGATIVE
Leverage ( the small margin required for futures contracts ) means that a relatively small market movement can have a disproportionately large effect on the Fund 's investments .,NEGATIVE
Leverage can result in large losses as well as gains .,NEGATIVE
The potential loss from a contract could exceed the Fund 's initial investment .,NEGATIVE
"With short contracts , the loss is theoretically unlimited since the appreciation of the underlying asset also is theoretically unlimited .",POSITIVE
Fund assets not invested in futures are invested primarily in investment - grade debt .,NEGATIVE
The value of debt instruments generally falls when interest rates rise .,NEGATIVE
"The Fund may engage in frequent trading , the costs of which may reduce returns and result in a greater number of taxable transactions .",NEGATIVE
"The Fund may invest a large portion of its assets in relatively few issuers , potentially making it more volatile than a diversified fund .",NEGATIVE
"The 361 Funds are distributed by IMST Distributors , LLC .",NEGATIVE
Related Articles,POSITIVE
"EXCLUSIVE Steve Harker , The Australian Financial Markets Association 's new chairman .",POSITIVE
Photo : Michel O'Sullivan,POSITIVE
"The Australian Financial Markets Association has elected Morgan Stanley 's Steve Harker as its new chairman , as it works towards releasing a revamped code of conduct for its members within the next three months .",POSITIVE
"Mr Harker , Morgan Stanley 's local chief , replaces Stephen Roberts at the helm of AFMA .",POSITIVE
Mr Roberts stepped down following his transition to chairman of Citigroup Australia from the chief executive role .,NEGATIVE
The industry is being very proactive in dealing with these issues .,POSITIVE
"Steve Harker , Morgan Stanley",POSITIVE
The changeover comes as the industry has continued to be marred by probes involving potential manipulation of the bank bill swap rate and incidents of questionable practices in the provision of financial advice .,NEGATIVE
"Mr Harker outlined the increased importance of improving behaviour and culture and consulting effectively on public policy , including tax and regulatory matters , as the finance industry continued to navigate the fallout from the global financial crisis .",POSITIVE
"Advertisement "" It 's important the industry as a whole signs up to it [ new code of conduct and ethics ] because you always risk having some marginal individuals who give the industry a bad name , "" he told Fairfax Media .",POSITIVE
""" The industry is being very proactive in dealing with these issues … the bar continues to be raised and I think that 's appropriate , "" Mr Harker added , noting that industry bodies and companies were working toward improving culture , and raising standards and education levels of those working in financial markets .",POSITIVE
"AFMA 's chief David Lynch said the association was working with members to revise its code of conduct and ethics , providing a more comprehensive document that will beef up stipulations around ethical principles .",POSITIVE
"That last document was dated January 2011 , but AFMA also periodically releases guidance notes on topics including debt trading and confidential information and the conduct of market soundings .",POSITIVE
"The new AFMA document will also draw on the United Kingdom 's Fair and Effective Markets Review , which was partly established to restore trust in financial markets .",POSITIVE
"Commonwealth Bank of Australia 's Kelly Bayer Rosmarin​ was elected AFMA 's deputy chair , following the departure of former Westpac Banking Corp executive Rob Whitfield .",POSITIVE
Ms Bayer Rosmarin is CBA 's group executive for institutional banking and markets .,POSITIVE
Hr Harker is also on the Future Fund Board of Guardians and was this year 's joint inductee into the stockbroker 's hall of fame .,POSITIVE
"AFMA is also busy on a raft of regulatory , tax and policy issues , and is keenly awaiting the federal government 's response to the landmark financial system inquiry .",POSITIVE
"Among other things , AFMA 's submissions to the FSI highlighted the need for taxation matters to be considered due to their influence on financial markets , and underscored the importance of the local corporate bond market .",POSITIVE
"Earlier this month , AFMA said it supported the corporate regulator 's recommendations on the administration of financial benchmarks in Australia .",POSITIVE
It is also liaising with an Australian Securities Exchange working group on a simultaneous move to a shorter two - day settlement cycle for debt and equities markets .,NEGATIVE
"AFMA represents more than 130 members , such as local and international banks , brokers , securities companies , state government treasury corporations , fund managers , and traders in electricity and other specialised markets .",POSITIVE
Chris Bowen has said that the effects test could lead to some large legal bills .,NEGATIVE
"Andrew Meares Share on twitter Share on Google Plus by Primrose Riordan Shadow Treasurer Chris Bowen has warned small and medium businesses advocating the effects test to brace for "" a conga line "" of lawyers and bills if it goes through Parliament .",NEGATIVE
"The Coalition is considering introducing the effects test , a controversial recommendation of the Harper review , which would change section 46 of the Competition",NEGATIVE
"Act so it only has to be shown that the effect , not the purpose , of a decision would be to eliminate competition .",NEGATIVE
"Addressing a high - level grocers meet in Canberra on Wednesday , Mr Bowen said it was a "" dangerous "" move that would result in a "" lawyers picnic "" for small business .",NEGATIVE
"Effects test "" If an effects test were to be introduced , and you were unable to convince the Australian Competition and Consumer Commission to take your case , be prepared to be facing a conga line of silks and consultants , with a potential legal bill that could be multiples of a small firms ' turnover , "" he said .",NEGATIVE
""" There is a risk of significant adverse cost orders should an applicant lose when trying to take action under an ' effects test ' . """,NEGATIVE
"He acknowledged a number of the grocers in the room held a different view on the effects test , and believe it will help regulate the power of large supermarkets .",POSITIVE
"A broad group , including t he Australian Chamber of Commerce and Industry , Master Grocers Australia , the Australian Hotels Association , the Australian Retailers Association and the National Farmers Federation , are pushing for the test .",POSITIVE
Master Grocers Australia CEO,POSITIVE
"Jos de Bruin slammed Mr Bowen 's comments , suggesting he was being fed by the big business lobby .",NEGATIVE
""" There is absolutely no substance to what he was saying … all that was , was a scare campaign , "" he said .",NEGATIVE
"Australian Chamber of Commerce and Industry chief executive Kate Carnell has also backed the effects test , saying it was a reasonable compromise that would not stymie competition nor hike prices to rise .",POSITIVE
"The current test only requires proof of an anti-competitive purpose or intent , which advocates argue has led to practically no successful prosecutions under the law .",NEGATIVE
"Mr Bowen also said Labor was against extending the base of the GST to food , as it could feed Australia 's diabetes epidemic .",NEGATIVE
.,POSITIVE
"View photo A customer shops at a Wal - Mart store in Beijing , February 18 , 2014 .",NEGATIVE
"REUTERS / Kim Kyung - Hoon SHANGHAI ( Reuters ) - A unit of conglomerate China Resources Corp plans to sell minority stakes it holds in 21 Wal - Mart Stores Inc ( WMT .N ) outlets around China , a spokesman for the U.S . retailer told Reuters on Friday .",NEGATIVE
State - backed China Resources SZITIC,NEGATIVE
"Trust Co Ltd has listed its stakes in the stores as being for sale for a combined 3.3 billion yuan ( $ 525 million ) , according to official postings from the firm on the Shanghai United Assets and Equity Exchange .",NEGATIVE
The postings did n't make clear the reason for selling the stakes - almost all of which account for 35 percent of the jointly owned outlets - and China Resources did not respond to phone calls and emailed requests seeking comment .,NEGATIVE
"The sale comes as Wal - Mart , the world 's largest retailer , and other largely brick and mortar retailers face intense competition in China from fast - developing online rivals just as growth in the world 's second - largest economy cools .",NEGATIVE
"Wal - Mart , France 's Carrefour SA ( CARR",NEGATIVE
".PA ) and Britain 's Tesco PLC ( TSCO.L ) have all seen sales growth slip over the last five years in China , losing market share to local rivals , according to consumer analytics firm Kantar Worldpanel .",NEGATIVE
"A China - based spokesman for Wal - Mart said the firm respected the "" investment decision "" of its partner , adding the sale should not impact the retailer 's ongoing business in the market .",NEGATIVE
""" Wal - Mart believes that the transfer of minority interest will not influence Wal - Mart 's operation and development in China , "" spokesman David Fu said in emailed comments to Reuters .",NEGATIVE
Fu did n't comment on who might potentially buy the stakes up for sale .,NEGATIVE
"The notices , dated last week but carried by domestic media earlier on Friday , listed the stakes for sale at prices ranging from as little as 1 yuan and up to 2.6 billion yuan .",NEGATIVE
The stores were located from China 's western Sichuan province to Beijing .,POSITIVE
Wal - Mart has been trying to boost its online presence in China and reduce reliance on physical stores .,NEGATIVE
"The retailer took full ownership of local e-commerce firm Yihaodian.com in July , buying the 49 percent stake it did not already own .",NEGATIVE
"The U.S . retailer has been struggling to shore up its profit margins globally , which have been weighed down by a $ 1 billion investment announced earlier this year to increase wages for half a million store - level workers , along with other cost pressures .",NEGATIVE
The company 's stock is down around 22 percent so far this year .,NEGATIVE
( $ 1 = 6.3484 Chinese yuan renminbi ),NEGATIVE
( Reporting by Adam Jourdan and SHANGHAI Newsroom ; Editing by Kazunori Takada and Kenneth Maxwell ) Wal - Mart Stores Inc China Resources,NEGATIVE
Bank accounts,NEGATIVE
Which bank should I switch to ?,NEGATIVE
"We highlight our five favourite bank accounts on the market , depending on what you want : customer service , perks , interest , loyalty or cashback A generation ago , the perks of opening a current account was receiving a piggy bank .",NEGATIVE
Now you can get 5 pc interest or generous cashback By Amelia Murray,NEGATIVE
( MENAFN Press ) Integratus Solutions is co-presenting their Data Warehouse Success Story with CP Kelco During a Webcast Coming Up August 19 2015,NEGATIVE
The company offers pre-built Business Intelligence ( BI ) & Data Warehouse ( DW ) solutions to integrate cloud & on - premise data enabling self - service reporting for executives department heads managers & administrators .,POSITIVE
We decided to get together with Ron from Integratus Solutions and learn more about business solutions .,POSITIVE
This interview is free to re-publish .,NEGATIVE
Ron what are some of the top issues you hear when talking to CIO’s ?,NEGATIVE
Without a doubt the number one issue we consistently hear from CIO ’s across the board is how to get information out to the enterprise into the hands of the people who need it to do their jobs on a day to day basis .,POSITIVE
All organizations have invested significant amounts of money in many cases anywhere from hundreds of millions to billions of dollars into their transactional systems to improve efficiency manage their business and capture valuable data on their customers patients financials employees inventory levels and so on .,POSITIVE
Often the first challenge is to ensure employees are adopting and using these systems to consistently & accurately capture the data needed for analytics .,POSITIVE
Once these systems are in place typically for one or two years organizations realize that an enterprise data warehouse platform is required in order to fully realize the value of their disparate internal and external data .,NEGATIVE
As a result - many organizations are investing as much as a 100 million into their data warehouse platform in order to fully realize the value of these investments and achieve competitive advantages whether in operational efficiency cost reduction or finding new revenue opportunities through new product offerings academic research business analysis patient care or other valuable ways to leverage their existing data .,NEGATIVE
Across all industries we consistently hear that the business is not satisfied with their ability to access actionable data needed to do their job effectively .,NEGATIVE
As a result this is # 1 priority for CIO ’s to meet their objectives .,POSITIVE
100 million is a lot for a data warehouse how do organizations typically justify the return on this type of investment in their data strategy ?,NEGATIVE
There are three ways to justify spending funds on a data warehouse strategy .,NEGATIVE
The first is to reduce the cost of data integration .,NEGATIVE
In order to produce a typical enterprise internal or external report it can involve anywhere integrating from 1 to 5 or more data sources .,NEGATIVE
Locating gathering and merging these disparate data sources typically take 90 % of the time needed to produce a report and can take anywhere from several weeks to months .,NEGATIVE
A typical enterprise needs to produce hundreds of reports annually ( for the executives board members regulatory authorities managers etc. ) .,NEGATIVE
A typical data integration cost for each report ( locating gathering merging ) can run anywhere from 20000 to 1 or more .,NEGATIVE
Multiply this number by 100 ( or more ) annual reports and an organizations reporting costs could easily run anywhere from 2M - 10 M / year or higher ( depending on volume and cost per report ) .,NEGATIVE
As a result its easy to see how most businesses are not currently satisfied with the quality of reporting they are currently receiving based on the data that ’s available .,NEGATIVE
The issue is not with the reporting tools or team however specifically with the lack of a data warehouse strategy & effective implementation .,NEGATIVE
An effective data warehouse means the data is located gathered and merged up front enabling the business to write and access their reports directly within the warehouse rather than manually doing this for each and every report request .,POSITIVE
So the first area of cost savings is in the data integration .,NEGATIVE
There comes a point when organizations decide do we keep hiring additional people to manually integrate data and write reports or do we implement a data warehouse and allow these people to focus more on analytics instead .,NEGATIVE
The second are of value is in data quality .,POSITIVE
Its been estimated that poor data quality costs the US economy as much as 3 trillion / year .,NEGATIVE
As an example poor data quality results shipments sent to the wrong location and strategic business decisions being made poorly with inaccurate incomplete data .,NEGATIVE
How much time is wasted in business meetings debating which department has the accurate sales numbers ?,NEGATIVE
When gathering data on financials employees customers and patients data quality is critical and expensive .,NEGATIVE
The third area of value in a data strategy is perhaps the most valuable however very different for each organization .,POSITIVE
Business revenue opportunities abound in fully leveraging available data .,POSITIVE
Organizations such as Facebook Amazon & Google are leading the world in growth & market capitalization based on business strategies that seek maximize value from their available data .,POSITIVE
As another example I spoke with a BI director from an academic health system who was able to fulfill over 400 research requests as a result of their integrated data warehouse .,POSITIVE
There are countless ways to maximize revenue across all industries by fully leveraging available data on customers and employees .,POSITIVE
Organizations who do this will continue to achieve financial stability reduce their risk and achieve high valuations in the future .,POSITIVE
If I ’ve decided to implement a data warehouse strategy what is the best way to reduce overall implementation risk ?,NEGATIVE
As in any endeavor the best way to reduce risk is by relying on professionals with proven experience .,NEGATIVE
They will help provide the guidance needed to get through roadblocks and reduce or eliminate potential pitfalls along the way .,POSITIVE
They ’ll help ensure the right resources infrastructure and executive sponsorship is in place to maximize value of your investments .,POSITIVE
The right professional (s ) can help you hire a team of data integration and reporting experts to achieve your initial objectives and continue to evolve your data strategy over time .,POSITIVE
For different organizations this is done in different ratios of internal and external resources but it is always recommended to start with proven experts and check the references of the specific consultant / new hire you ’re bringing on .,POSITIVE
Seasoned experts with several successful implementations will be able to provide guidance on getting through roadblocks and avoiding potentially disastrous pitfalls .,POSITIVE
What type of successful data warehouse solutions have you seen organizations implement ?,POSITIVE
Recently we ’ve seen a great deal of organizations moving to cloud applications in order to simplify their IT infrastructure and reduce costs .,POSITIVE
Typically these applications satisfy line of business requirements such as HR CRM or other purposes .,POSITIVE
Often these applications may be a third party service which provides data on customer and / or patient satisfaction for example .,NEGATIVE
In any case integrating data from cloud applications requires additional complexity to ensure this data is effectively included as part of a Data warehouse strategy .,NEGATIVE
Often this data is hugely valuable containing employee or customer information .,POSITIVE
Integrating with financials for example can help provide a complete picture on revenue per employee across location division etc .,POSITIVE
As another example one surgeon may have excellent revenue numbers but perhaps lower patient satisfaction / retention numbers .,NEGATIVE
Without integrating these data sets there is critical information that goes missing .,NEGATIVE
We ’ve recently worked with a large enterprise organization diversified across several businesses from paper to chemical manufacturing among others .,POSITIVE
They recently moved to a cloud HR application called SuccessFactors in order to reduce costs from their previous legacy PeopleSoft application .,NEGATIVE
They achieved the initial value desired however wanted to be able to fully leverage this valuable employee data within their robust data warehouse which is supported by the market - share leading Business Objects toolset .,POSITIVE
The data warehouse already was providing valuable insight on their financials inventory and material costs which is captured in their SAP ERP .,NEGATIVE
Their desire was to correlate this data together with employee costs in order to fully achieve their business objectives .,NEGATIVE
They also used ADP for payroll and wanted to incorporate this as well .,NEGATIVE
We leveraged the SAP data services 4.2 toolset in order to bring the data from SuccessFactors & ADP into their on - premise data warehouse conforming with business & data governance standards .,POSITIVE
As a result their department heads are able to easily access and forecast data on complex employee compensation scenarios taking into account financial and revenue data .,POSITIVE
What are the best data warehouse solutions for each industry ?,POSITIVE
There are a great deal of “ prebuilt ” data warehouse and business intelligence applications available in the market for each industry .,POSITIVE
Some important questions to ask include the following :,POSITIVE
Is it agnostic to data sources & vendor ?,NEGATIVE
( i.e. if it ’s a vendor data warehouse how difficult is it to integrate data sources outside of that vendor ’s domain of expertise ),NEGATIVE
Is it comprehensive for your business requirements ?,POSITIVE
( i.e. if it ’s a financial data warehouse how difficult is it to incorporate data from sales HR etc. ),NEGATIVE
Is it flexible to meet your competitive advantages ?,POSITIVE
( i.e. if it ’s the same solution your competitors are using ; how do you address the advantages inherent to your organization ? ),NEGATIVE
Typically vendor ’s solutions are n’t great at integrating data outside their expertise and their objective is to achieve long - term “ lock - in ” with their applications .,NEGATIVE
As a result many organizations prefer to own their own vendor agnostic data warehouse enabling them to achieve independence from any software vendor and change applications more easily if it can help improve efficiency and or reduce cost .,NEGATIVE
Sometimes organizations end up using some type of hybrid approach of industry and / or vendor solutions combined with their own independently developed data warehouse solutions .,NEGATIVE
In any case its important to have a data governance / quality strategy in place to ensure a single version of the truth and reduce complexity .,NEGATIVE
Where is the best place to start ?,NEGATIVE
Typically organizations begin with an initial health check and / or assessment to determine their available data and resources to support a data warehouse initiative .,NEGATIVE
As a result they can focus on the highest priority areas with highest available quality data to achieve an immediate impact .,POSITIVE
This is important to help reduce cost and risk of data warehouse .,POSITIVE
Typically this also includes meeting with business executives to understand the areas of highest priority for the organization in order to align with business objectives for revenue growth operational efficiency financial stability etc .,POSITIVE
Once this is in place typically a first phase data warehouse will focus on a specific subject area ( i.e. finance quality sales etc. ) together with a strategy to extend this platform for future phases .,POSITIVE
This strategy is much better than a big bang approach since it reduces initial timeframes and risk and allows for iteration along the way .,POSITIVE
What makes your offering unique at Integratus ?,POSITIVE
Here at Integratus we bring a “ best of both worlds ” approach to our customers .,POSITIVE
Often vendors will tout their specific solution as optimal for all clients however we do not believe a one size fits all works for clients with unique competitive advantages .,NEGATIVE
Where there are gaps in available vendor solutions we have developed and deployed prebuilt data mart solutions for applications such as SAP and SuccessFactors .,NEGATIVE
